Institut;Famille_prestation;Prestation;Duree;Prix;Option;Forfait
Klinic;Morpheus 8;Visage + cou;1h;500000;0;0
Klinic;Morpheus 8;Visage simple;1h;350000;0;0
Klinic;Morpheus 8;Décolleté;1h;350000;0;0
Klinic;Morpheus 8;Genoux;1h;350000;0;0
Klinic;Morpheus 8;Cicatrice d'acné;1h;350000;0;0
Klinic;Morpheus 8;Peau relâchée corps;1h;500000;0;0
Klinic;Morpheus 8;Vergeture;1h;500000;0;0
Klinic;LPG;Lift visage une séance;1h;35000;0;0
Klinic;LPG;Lift visage 10 séances;1h;300000;0;1
Klinic;LPG;Séance unique corps;1h;40000;0;0
Klinic;LPG;Forfait 10 séances corps;1h;300000;0;1
Klinic;LPG;Cure de 6 jours detox;1h;300000;0;1
Klinic;Soin profond;Massage des mains;15 min;10000;0;0
Klinic;Soin profond;Massage des pieds;15 min;10000;0;0
Klinic;Soin profond;Massage relaxant;1h;30000;0;0
Klinic;Soin profond;Massage du dos;30 min;15000;0;0
Klinic;Soin profond;Massage des jambes;30 min;15000;0;0
Klinic;Soin profond;Massage tonic;1h;35000;0;0
Klinic;Soin profond;Massage amincissant;1h;40000;0;0
Klinic;Soin profond;Massage pierre chaude;1h30;50000;0;0
Klinic;Soin profond;Gommage du corps;30 min;30000;0;0
Klinic;Soin profond;Gommage enveloppement + massage;1h30;55000;0;0
Klinic;Soin profond;Gommage + massage;1h;50000;0;0
Klinic;Soin profond;Drainage lymphatique;1h;40000;0;0
Klinic;Soin profond;Medero une séance;1h;40000;0;0
Klinic;Soin profond;Medero 8 séances;1h;230000;0;1
Klinic;Epilation cire femme;Maillot intégral;30 min;17000;0;0
Klinic;Epilation cire femme;Maillot classique;30 min;7000;0;0
Klinic;Epilation cire femme;Maillot échancré;30 min;12000;0;0
Klinic;Epilation cire femme;Sif;15 min;5000;0;0
Klinic;Epilation cire femme;Fesses;15 min;10000;0;0
Klinic;Epilation cire femme;Aisselles;15 min;5000;0;0
Klinic;Epilation cire femme;Jambes entières;30 min;15000;0;0
Klinic;Epilation cire femme;Demi jambe;30 min;10000;0;0
Klinic;Epilation cire femme;Moustache;15 min;5000;0;0
Klinic;Epilation cire femme;Barbe;15 min;5000;0;0
Klinic;Epilation cire femme;Oreilles;15 min;5000;0;0
Klinic;Epilation cire femme;Nez;15 min;5000;0;0
Klinic;Epilation cire femme;Sourcils;15 min;5000;0;0
Klinic;Epilation cire femme;Bras;30 min;15000;0;0
Klinic;Epilation cire femme;Demi bras;30 min;10000;0;0
Klinic;Epilation cire femme;Teinture sourcils;30 min;10000;0;0
Klinic;Epilation cire femme;Teinture maillot;30 min;15000;0;0
Klinic;Epilation cire femme;Visage;30 min;20000;0;0
Klinic;Epilation cire femme;Dos;30 min;20000;0;0
Klinic;Epilation cire femme;Soin vajacial;45 min;30000;0;0
Klinic;Epilation cire homme;Aisselles;15 min;10000;0;0
Klinic;Epilation cire homme;Jambes entières;30 min;30000;0;0
Klinic;Epilation cire homme;Demi jambe;30 min;20000;0;0
Klinic;Epilation cire homme;Moustache;15 min;10000;0;0
Klinic;Epilation cire homme;Barbe;15 min;10000;0;0
Klinic;Epilation cire homme;Oreilles;15 min;10000;0;0
Klinic;Epilation cire homme;Nez;15 min;10000;0;0
Klinic;Epilation cire homme;Sourcils;15 min;10000;0;0
Klinic;Epilation cire homme;Bras;30 min;30000;0;0
Klinic;Epilation cire homme;Demi bras;30 min;20000;0;0
Klinic;Epilation cire homme;Visage;30 min;40000;0;0
Klinic;Epilation cire homme;Dos;30 min;30000;0;0
Klinic;Option;LPG Collant;;15000;1;0
Express;Coiffure;Petite coupe;;20000;0;0
Express;Coiffure;Grosse coupe;;30000;0;0
Express;Coiffure;Brushing cheveux court;;10000;0;0
Express;Coiffure;Brushing + fer;;13000;0;0
Express;Coiffure;Brushing cheveux long;;15000;0;0
Express;Coiffure;Boucles;;13000;0;0
Express;Coiffure;Shampoing;;5000;0;0
Express;Coiffure;Racine;;30000;0;0
Express;Coiffure;Couleur cheveux court;;40000;0;0
Express;Coiffure;Couleur cheveux long;;60000;0;0
Express;Coiffure;Conturing;;30000;0;0
Express;Coiffure;Rinçage;;25000;0;0
Express;Coiffure;Low light cheveux court;;60000;0;0
Express;Coiffure;Low light cheveux long;;80000;0;0
Express;Coiffure;High light cheveux court;;80000;0;0
Express;Coiffure;High light cheveux long;;160000;0;0
Express;Coiffure;Chignon;;40000;0;0
Express;Coiffure;Demi relevé;;25000;0;0
Express;Coiffure;Coiffure engagement;;80000;0;0
Express;Coiffure;Mariage;;150000;0;0
Express;Coiffure;Soin olaplex;;30000;0;0
Express;Coiffure;Bain d'huile;;20000;0;0
Express;Coiffure afro;Fer;;20000;0;0
Express;Coiffure afro;Shampoing + brushing;;15000;0;0
Express;Coiffure afro;Défrisage;;30000;0;0
Express;Coiffure afro;Défaire tresses simples;;5000;0;0
Express;Coiffure afro;Défaire tresses compliquées;;10000;0;0
Express;Coiffure afro;Napo;;10000;0;0
Express;Coiffure afro;Shampoing traitement;;20000;0;0
Express;Coiffure afro;Shampoing simple;;5000;0;0
Express;Coiffure afro;Tissage (par boule);;15000;0;0
Express;Coiffure afro;Nattes simples;;10000;0;0
Express;Coiffure afro;Nattes modèles;;20000;0;0
Express;Coiffure afro;Mise en forme;;10000;0;0
Express;Coiffure afro;Coupe;;25000;0;0
Express;Coiffure afro;Couleur;;45000;0;0
Express;Coiffure afro;Couleur + extensions;;80000;0;0
Express;Lissage keratine;Cheveux courts;;100000;0;0
Express;Lissage keratine;Cheveux mi-long;;160000;0;0
Express;Lissage keratine;Cheveux long;;200000;0;0
Express;Extensions;Un paquet;;150000;0;0
Express;Extensions;Dépose (par mèche);;700;0;0
Express;Extensions;Colle + pose (par mèche);;1000;0;0
Express;Extensions;Colle (par mèche);;700;0;0
